21:46:20.179 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - === 应用启动调试信息 ===
21:46:20.182 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - Java 版本: 21.0.8
21:46:20.183 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - JavaFX 版本: 21.0.7
21:46:20.183 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 工作目录: E:\codeData\javaProject\javafx-ddmusic\ddmuisc2
21:46:20.184 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 1. 开始创建 HomePage
21:46:27.002 [JavaFX Application Thread] ERROR c.s.ddmusic.common.utils.HttpUtils - TuneFree API请求失败: Server returned HTTP response code: 502 for URL: https://music-dl.sayqz.com/api/?source=netease&type=toplists
21:46:28.478 [JavaFX Application Thread] INFO  c.s.ddmusic.common.utils.ConfigUtils - 配置文件读取成功: C:\Users\Administrator\ddmusic.dd
21:46:28.486 [JavaFX Application Thread] INFO  c.s.d.p.n.MusicPlayDetailContainer - 旋转角度: 60.0
21:46:28.767 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 2. HomePage 创建成功
21:46:28.767 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 3. 开始创建场景
21:46:28.968 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 4. 场景创建成功
21:46:28.969 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 5. 设置舞台属性
21:46:28.970 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 6. 舞台属性设置完成
21:46:28.972 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 7. 加载图标
21:46:28.975 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 图标URL: file:/E:/codeData/javaProject/javafx-ddmusic/ddmuisc2/target/classes/img/logo.svg
21:46:28.989 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 8. 图标加载成功
21:46:28.990 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 9. 显示舞台
21:46:29.874 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 10. 添加窗口缩放支持
21:46:29.877 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 11. 居中显示
21:46:29.878 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 12. 应用启动完成
21:46:37.692 [JavaFX Application Thread] ERROR c.s.ddmusic.common.utils.HttpUtils - TuneFree API请求失败: Server returned HTTP response code: 502 for URL: https://music-dl.sayqz.com/api/?source=kuwo&type=toplists
21:46:41.043 [JavaFX Application Thread] ERROR c.s.ddmusic.common.utils.HttpUtils - TuneFree API请求失败: Server returned HTTP response code: 502 for URL: https://music-dl.sayqz.com/api/?source=netease&type=toplists
21:46:52.858 [Thread-15] INFO  c.s.d.p.node.SearchResultContainer - 开始搜索关键词: 我的名字
21:46:52.860 [Thread-15] INFO  c.s.d.common.utils.TuneHubApiUtils - 聚合搜索歌曲: 关键词=我的名字
21:46:53.422 [Thread-15] ERROR c.s.ddmusic.common.utils.HttpUtils - TuneFree API请求失败: Server returned HTTP response code: 502 for URL: https://music-dl.sayqz.com/api?type=aggregateSearch&keyword=%E6%88%91%E7%9A%84%E5%90%8D%E5%AD%97
