13:47:16.600 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - === 应用启动调试信息 ===
13:47:16.602 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - Java 版本: 21.0.8
13:47:16.604 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - JavaFX 版本: 21.0.7
13:47:16.604 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 工作目录: E:\codeData\javaProject\javafx-ddmusic\ddmuisc2
13:47:16.604 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 1. 开始创建 HomePage
13:47:23.639 [JavaFX Application Thread] INFO  c.s.ddmusic.common.utils.ConfigUtils - 配置文件读取成功: C:\Users\Administrator\ddmusic.dd
13:47:23.646 [JavaFX Application Thread] INFO  c.s.d.p.n.MusicPlayDetailContainer - 旋转角度: 60.0
13:47:23.764 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 2. HomePage 创建成功
13:47:23.765 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 3. 开始创建场景
13:47:23.875 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 4. 场景创建成功
13:47:23.877 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 5. 设置舞台属性
13:47:23.879 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 6. 舞台属性设置完成
13:47:23.879 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 7. 加载图标
13:47:23.880 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 图标URL: file:/E:/codeData/javaProject/javafx-ddmusic/ddmuisc2/target/classes/img/logo.svg
13:47:23.882 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 8. 图标加载成功
13:47:23.883 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 9. 显示舞台
13:47:24.388 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 10. 添加窗口缩放支持
13:47:24.390 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 11. 居中显示
13:47:24.390 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 12. 应用启动完成
13:56:58.628 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - === 应用启动调试信息 ===
13:56:58.631 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - Java 版本: 21.0.8
13:56:58.631 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - JavaFX 版本: 21.0.7
13:56:58.631 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 工作目录: E:\codeData\javaProject\javafx-ddmusic\ddmuisc2
13:56:58.632 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 1. 开始创建 HomePage
13:57:00.337 [JavaFX Application Thread] INFO  c.s.ddmusic.common.utils.ConfigUtils - 配置文件读取成功: C:\Users\Administrator\ddmusic.dd
13:57:00.347 [JavaFX Application Thread] INFO  c.s.d.p.n.MusicPlayDetailContainer - 旋转角度: 60.0
13:57:00.448 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 2. HomePage 创建成功
13:57:00.448 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 3. 开始创建场景
13:57:00.523 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 4. 场景创建成功
13:57:00.524 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 5. 设置舞台属性
13:57:00.525 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 6. 舞台属性设置完成
13:57:00.526 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 7. 加载图标
13:57:00.528 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 图标URL: file:/E:/codeData/javaProject/javafx-ddmusic/ddmuisc2/target/classes/img/logo.svg
13:57:00.531 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 8. 图标加载成功
13:57:00.532 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 9. 显示舞台
13:57:01.031 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 10. 添加窗口缩放支持
13:57:01.032 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 11. 居中显示
13:57:01.033 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 12. 应用启动完成
14:00:59.248 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - === 应用启动调试信息 ===
14:00:59.251 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - Java 版本: 21.0.8
14:00:59.251 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - JavaFX 版本: 21.0.7
14:00:59.251 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 工作目录: E:\codeData\javaProject\javafx-ddmusic\ddmuisc2
14:00:59.252 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 1. 开始创建 HomePage
14:01:09.961 [JavaFX Application Thread] INFO  c.s.ddmusic.common.utils.ConfigUtils - 配置文件读取成功: C:\Users\Administrator\ddmusic.dd
14:01:09.969 [JavaFX Application Thread] INFO  c.s.d.p.n.MusicPlayDetailContainer - 旋转角度: 60.0
14:01:10.078 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 2. HomePage 创建成功
14:01:10.079 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 3. 开始创建场景
14:01:10.137 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 4. 场景创建成功
14:01:10.139 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 5. 设置舞台属性
14:01:10.140 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 6. 舞台属性设置完成
14:01:10.140 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 7. 加载图标
14:01:10.141 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 图标URL: file:/E:/codeData/javaProject/javafx-ddmusic/ddmuisc2/target/classes/img/logo.svg
14:01:10.145 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 8. 图标加载成功
14:01:10.146 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 9. 显示舞台
14:01:10.524 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 10. 添加窗口缩放支持
14:01:10.525 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 11. 居中显示
14:01:10.525 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 12. 应用启动完成
14:01:20.549 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - === ToggleGroup 监听器被触发 ===
14:01:20.550 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - oldToggle: null
14:01:20.550 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - newToggle: recommend
14:01:20.550 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - 当前选中的菜单项：recommend
14:01:20.551 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - ================================
14:01:21.293 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - === ToggleGroup 监听器被触发 ===
14:01:21.294 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - oldToggle: recommend
14:01:21.294 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - newToggle: jingxuan
14:01:21.294 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - 当前选中的菜单项：jingxuan
14:01:21.295 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - 上一个被选中的菜单项：recommend
14:01:21.295 [JavaFX Application Thread] INFO  c.s.d.p.node.HomePageMenuItemPanel - ================================
14:04:12.834 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - === 应用启动调试信息 ===
14:04:12.838 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - Java 版本: 21.0.8
14:04:12.839 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - JavaFX 版本: 21.0.7
14:04:12.840 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 工作目录: E:\codeData\javaProject\javafx-ddmusic\ddmuisc2
14:04:12.840 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 1. 开始创建 HomePage
14:04:17.115 [JavaFX Application Thread] INFO  c.s.ddmusic.common.utils.ConfigUtils - 配置文件读取成功: C:\Users\Administrator\ddmusic.dd
14:04:17.121 [JavaFX Application Thread] INFO  c.s.d.p.n.MusicPlayDetailContainer - 旋转角度: 60.0
14:04:17.209 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 2. HomePage 创建成功
14:04:17.209 [JavaFX Application Thread] INFO  com.stickpoint.ddmusic.App - 3. 开始创建场景
